order_id,customer_id,location_id,order_date,ship_date,ship_mode,order_priority
CA-2014-LA16780140-41997,LA-167801402,3695,2014-12-24,2014-12-27,Second Class,Medium
CA-2014-LB16735140-41846,LB-167351404,3215,2014-07-26,2014-07-28,Second Class,High
CA-2014-LB16795140-41884,LB-167951404,3202,2014-09-02,2014-09-04,Second Class,High
CA-2014-LB16795140-41955,LB-167951408,3300,2014-11-12,2014-11-16,Standard Class,High
CA-2014-LC16870140-41699,LC-168701406,3605,2014-03-01,2014-03-05,Standard Class,Medium
CA-2014-LC16870140-41705,LC-168701402,3363,2014-03-07,2014-03-13,Standard Class,Medium
CA-2014-LC16870140-41864,LC-168701402,3407,2014-08-13,2014-08-13,Same Day,Critical
CA-2014-LC16885140-41808,LC-168851404,3280,2014-06-18,2014-06-20,First Class,High
CA-2014-LC16885140-41926,LC-168851404,3239,2014-10-14,2014-10-20,Standard Class,Medium
CA-2014-LC16885140-41996,LC-168851406,3557,2014-12-23,2014-12-27,Standard Class,High
CA-2014-LC16930140-41781,LC-169301404,3516,2014-05-22,2014-05-29,Standard Class,Medium
CA-2014-LC16930140-41856,LC-169301404,3240,2014-08-05,2014-08-07,Second Class,Medium
CA-2014-LC16930140-41878,LC-169301402,3710,2014-08-27,2014-08-29,First Class,Medium
CA-2014-LC16930140-41894,LC-169301404,3165,2014-09-12,2014-09-14,First Class,Medium
CA-2014-LC16960140-41933,LC-169601408,3736,2014-10-21,2014-10-27,Standard Class,Medium
CA-2014-LC17050140-41673,LC-170501408,3425,2014-02-03,2014-02-10,Standard Class,Low
CA-2014-LC17140140-41738,LC-171401404,3215,2014-04-09,2014-04-13,Standard Class,High
CA-2014-LC17140140-41816,LC-171401402,3696,2014-06-26,2014-06-28,Second Class,High
CA-2014-LC17140140-41997,LC-171401408,3744,2014-12-24,2014-12-26,Second Class,High
CA-2014-LD16855140-41817,LD-168551402,3364,2014-06-27,2014-07-01,Standard Class,Medium
CA-2014-LD17005140-41783,LD-170051404,3247,2014-05-24,2014-05-28,Standard Class,Medium
CA-2014-LD17005140-41951,LD-170051404,3249,2014-11-08,2014-11-13,Standard Class,High
CA-2014-LD17005140-41955,LD-170051402,3460,2014-11-12,2014-11-17,Standard Class,Medium
CA-2014-LE16810140-41779,LE-168101408,3736,2014-05-20,2014-05-25,Standard Class,Medium
CA-2014-LF17185140-41933,LF-171851406,3605,2014-10-21,2014-10-24,First Class,Medium
CA-2014-LH16900140-41811,LH-169001406,3296,2014-06-21,2014-06-26,Standard Class,Medium
CA-2014-LH16900140-41982,LH-169001408,3577,2014-12-09,2014-12-13,Standard Class,High
CA-2014-LH17020140-41948,LH-170201404,3249,2014-11-05,2014-11-06,First Class,Medium
CA-2014-LH17155140-41774,LH-171551406,3588,2014-05-15,2014-05-15,Same Day,High
CA-2014-LH17155140-41949,LH-171551404,3251,2014-11-06,2014-11-08,Second Class,High
CA-2014-LH17155140-41983,LH-171551402,3463,2014-12-10,2014-12-14,Standard Class,Medium
CA-2014-LH17155140-41984,LH-171551404,3247,2014-12-11,2014-12-16,Second Class,Medium
CA-2014-LM17065140-41858,LM-170651406,3556,2014-08-07,2014-08-12,Standard Class,High
CA-2014-LM17065140-41978,LM-170651406,3545,2014-12-05,2014-12-09,Standard Class,High
CA-2014-LP17080140-41955,LP-170801404,3248,2014-11-12,2014-11-17,Standard Class,High
CA-2014-LP17095140-41797,LP-170951406,3594,2014-06-07,2014-06-11,Standard Class,High
CA-2014-LP17095140-41891,LP-170951404,3265,2014-09-09,2014-09-16,Standard Class,Medium
CA-2014-LP17095140-41915,LP-170951404,3165,2014-10-03,2014-10-04,First Class,High
CA-2014-LP709523-41793,LP-709523,520,2014-06-03,2014-06-08,Second Class,Medium
CA-2014-LR16915140-41642,LR-169151404,3217,2014-01-03,2014-01-05,First Class,High
CA-2014-LR16915140-41885,LR-169151404,3216,2014-09-03,2014-09-07,Standard Class,Medium
CA-2014-LR17035140-41909,LR-170351402,3695,2014-09-27,2014-10-01,Standard Class,High
CA-2014-LS16945140-41839,LS-169451404,3275,2014-07-19,2014-07-25,Standard Class,Medium
CA-2014-LS16945140-41912,LS-169451406,3633,2014-09-30,2014-10-03,First Class,Medium
CA-2014-LS16975140-41851,LS-169751402,3696,2014-07-31,2014-08-05,Standard Class,Medium
CA-2014-LS17200140-41967,LS-172001406,3633,2014-11-24,2014-11-24,Same Day,High
CA-2014-LS17245140-41787,LS-172451404,3217,2014-05-28,2014-06-03,Standard Class,Medium
CA-2014-LS17245140-41806,LS-172451402,3694,2014-06-16,2014-06-19,First Class,High
CA-2014-LS694523-41760,LS-694523,488,2014-05-01,2014-05-04,First Class,Critical
CA-2014-LT17110140-41712,LT-171101402,3718,2014-03-14,2014-03-19,Standard Class,Medium
CA-2014-LT17110140-41963,LT-171101408,3579,2014-11-20,2014-11-22,First Class,Critical
CA-2014-LW16825140-41999,LW-168251404,3165,2014-12-26,2015-01-02,Standard Class,Medium
CA-2014-LW17125140-41949,LW-171251408,3746,2014-11-06,2014-11-08,First Class,High
CA-2014-LW17215140-41900,LW-172151406,3557,2014-09-18,2014-09-23,Standard Class,High
CA-2014-LW17215140-41951,LW-172151406,3560,2014-11-08,2014-11-10,First Class,Medium
CA-2014-MA17560140-41870,MA-175601402,3696,2014-08-19,2014-08-21,Second Class,Critical
CA-2014-MA17995140-41951,MA-179951404,3781,2014-11-08,2014-11-13,Standard Class,Medium
CA-2014-MB17305140-41958,MB-173051406,3554,2014-11-15,2014-11-18,First Class,Medium
CA-2014-MB18085140-41769,MB-180851402,3694,2014-05-10,2014-05-14,Standard Class,Medium
CA-2014-MB18085140-41887,MB-180851402,3502,2014-09-05,2014-09-09,Standard Class,Medium
CA-2014-MC17275140-41661,MC-172751404,3763,2014-01-22,2014-01-27,Standard Class,Medium
CA-2014-MC17275140-41721,MC-172751404,3762,2014-03-23,2014-03-23,Same Day,Medium
CA-2014-MC17425140-41837,MC-174251402,3694,2014-07-17,2014-07-19,Second Class,High
CA-2014-MC17425140-41970,MC-174251408,3155,2014-11-27,2014-11-30,First Class,Medium
CA-2014-MC17590140-41838,MC-175901406,3534,2014-07-18,2014-07-22,Standard Class,Medium
CA-2014-MC17590140-41895,MC-175901406,3563,2014-09-13,2014-09-17,Standard Class,High
CA-2014-MC17590140-41997,MC-175901402,3461,2014-12-24,2014-12-30,Standard Class,Medium
CA-2014-MC17605140-41964,MC-176051404,3213,2014-11-21,2014-11-28,Standard Class,Medium
CA-2014-MC17635140-41691,MC-176351404,3215,2014-02-21,2014-02-26,Second Class,Medium
CA-2014-MC17845140-41951,MC-178451402,3683,2014-11-08,2014-11-13,Standard Class,Medium
CA-2014-MC17845140-41988,MC-178451408,3492,2014-12-15,2014-12-20,Standard Class,Medium
CA-2014-MC18100140-41920,MC-181001404,3757,2014-10-08,2014-10-12,Standard Class,Medium
CA-2014-MC18130140-41711,MC-181301408,3430,2014-03-13,2014-03-18,Standard Class,High
CA-2014-MC18130140-42000,MC-181301404,3213,2014-12-27,2015-01-01,Standard Class,Medium
CA-2014-MD17350140-41888,MD-173501406,3599,2014-09-06,2014-09-12,Standard Class,Medium
CA-2014-MD735023-41902,MD-735023,488,2014-09-20,2014-09-23,Second Class,Medium
CA-2014-ME17320140-41728,ME-173201402,3364,2014-03-30,2014-04-03,Second Class,Medium
CA-2014-ME17320140-41734,ME-173201408,3744,2014-04-05,2014-04-06,First Class,High
CA-2014-ME17320140-41797,ME-173201404,3255,2014-06-07,2014-06-12,Standard Class,Medium
CA-2014-MF17665140-41648,MF-176651406,3608,2014-01-09,2014-01-13,Second Class,Medium
CA-2014-MF17665140-41843,MF-176651406,3435,2014-07-23,2014-07-27,Standard Class,Medium
CA-2014-MF17665140-41948,MF-176651408,3320,2014-11-05,2014-11-10,Standard Class,Medium
CA-2014-MG17650140-41968,MG-176501406,3634,2014-11-25,2014-12-02,Standard Class,Medium
CA-2014-MG17650140-41986,MG-176501402,3463,2014-12-13,2014-12-19,Standard Class,Medium
CA-2014-MG17875140-41891,MG-178751406,3555,2014-09-09,2014-09-11,First Class,High
CA-2014-MG17890140-41703,MG-178901404,3244,2014-03-05,2014-03-11,Standard Class,Medium
CA-2014-MG17890140-41930,MG-178901404,3200,2014-10-18,2014-10-22,Standard Class,Medium
CA-2014-MG820523-41760,MG-820523,532,2014-05-01,2014-05-03,First Class,Medium
CA-2014-MH17440140-41678,MH-174401402,3694,2014-02-08,2014-02-15,Standard Class,Low
CA-2014-MH17440140-41993,MH-174401406,3557,2014-12-20,2014-12-25,Second Class,Medium
CA-2014-MH17455140-41969,MH-174551404,3215,2014-11-26,2014-11-30,Standard Class,Medium
CA-2014-MH17620140-41886,MH-176201406,3588,2014-09-04,2014-09-09,Standard Class,High
CA-2014-MH17620140-41909,MH-176201402,3695,2014-09-27,2014-09-28,First Class,High
CA-2014-MH17785140-41709,MH-177851404,3162,2014-03-11,2014-03-15,Second Class,Medium
CA-2014-MJ17740140-41753,MJ-177401406,3599,2014-04-24,2014-04-27,First Class,Medium
CA-2014-MJ17740140-41815,MJ-177401404,3245,2014-06-25,2014-06-27,Second Class,High
CA-2014-MJ17740140-41828,MJ-177401404,3729,2014-07-08,2014-07-14,Standard Class,Medium
CA-2014-MJ17740140-41951,MJ-177401404,3764,2014-11-08,2014-11-12,Standard Class,High
CA-2014-MK17905140-41907,MK-179051402,3383,2014-09-25,2014-09-27,First Class,Critical
CA-2014-MK17905140-41934,MK-179051406,3289,2014-10-22,2014-10-22,Same Day,High
CA-2014-MK790523-41989,MK-790523,497,2014-12-16,2014-12-22,Standard Class,Medium
CA-2014-ML17395140-41888,ML-173951404,3246,2014-09-06,2014-09-11,Standard Class,Medium
CA-2014-ML17395140-41951,ML-173951404,3249,2014-11-08,2014-11-14,Standard Class,Medium
CA-2014-ML17410140-41912,ML-174101404,3214,2014-09-30,2014-10-04,Standard Class,Medium
CA-2014-ML17755140-41856,ML-177551408,3745,2014-08-05,2014-08-09,Standard Class,Medium
CA-2014-MM17260140-41901,MM-172601406,3553,2014-09-19,2014-09-26,Standard Class,Medium
CA-2014-MM17920140-41752,MM-179201406,3561,2014-04-23,2014-04-30,Standard Class,Medium
CA-2014-MM17920140-41977,MM-179201402,3403,2014-12-04,2014-12-08,Standard Class,High
CA-2014-MM18280140-41713,MM-182801404,3762,2014-03-15,2014-03-17,First Class,High
CA-2014-MN17935140-41775,MN-179351406,3607,2014-05-16,2014-05-20,Second Class,Medium
CA-2014-MO17500140-41889,MO-175001406,3557,2014-09-07,2014-09-10,Second Class,Medium
CA-2014-MO17500140-41917,MO-175001402,3721,2014-10-05,2014-10-05,Same Day,Critical
CA-2014-MO17800140-41881,MO-178001406,3556,2014-08-30,2014-09-05,Standard Class,Medium
CA-2014-MP17470140-41650,MP-174701406,3590,2014-01-11,2014-01-15,Standard Class,High
CA-2014-MP17965140-41922,MP-179651406,3609,2014-10-10,2014-10-16,Standard Class,Low
CA-2014-MP17965140-41989,MP-179651402,3458,2014-12-16,2014-12-20,Standard Class,Medium
CA-2014-MP17965140-42003,MP-179651408,3651,2014-12-30,2015-01-04,Standard Class,Medium
CA-2014-MP18175140-41979,MP-181751402,3363,2014-12-06,2014-12-10,Second Class,High
CA-2014-MS17365140-41674,MS-173651406,3439,2014-02-04,2014-02-10,Standard Class,Medium
CA-2014-MS17365140-41961,MS-173651404,3539,2014-11-18,2014-11-23,Standard Class,Medium
CA-2014-MS17365140-41970,MS-173651404,3217,2014-11-27,2014-12-01,Standard Class,Medium
CA-2014-MS17530140-41935,MS-175301404,3763,2014-10-23,2014-10-23,Same Day,Critical
CA-2014-MS17710140-41786,MS-177101402,3687,2014-05-27,2014-05-27,Same Day,Critical
CA-2014-MS17710140-41956,MS-177101404,3163,2014-11-13,2014-11-20,Standard Class,Medium
CA-2014-MS17770140-41875,MS-177701404,3763,2014-08-24,2014-08-31,Standard Class,Medium
CA-2014-MS17830140-41917,MS-178301406,3433,2014-10-05,2014-10-10,Standard Class,High
CA-2014-MT17815140-41846,MT-178151408,3492,2014-07-26,2014-07-30,Standard Class,Medium
CA-2014-MT17815140-42001,MT-178151402,3714,2014-12-28,2015-01-03,Standard Class,Medium
CA-2014-MT18070140-41863,MT-180701402,3616,2014-08-12,2014-08-17,Standard Class,Medium
CA-2014-MV17485140-41725,MV-174851404,3353,2014-03-27,2014-03-29,Second Class,Critical
CA-2014-MV17485140-41888,MV-174851406,3555,2014-09-06,2014-09-12,Standard Class,Medium
CA-2014-MV18190140-41808,MV-181901404,3217,2014-06-18,2014-06-20,First Class,Critical
CA-2014-MV18190140-41965,MV-181901406,3557,2014-11-22,2014-11-29,Standard Class,Low
CA-2014-MV18190140-41975,MV-181901408,3581,2014-12-02,2014-12-02,Same Day,High
CA-2014-MW18220140-42001,MW-182201406,3599,2014-12-28,2014-12-31,Second Class,Medium
CA-2014-MY18295140-41714,MY-182951402,3674,2014-03-16,2014-03-20,Standard Class,High
CA-2014-MY18295140-41933,MY-182951404,3196,2014-10-21,2014-10-26,Standard Class,Medium
CA-2014-MY18295140-41934,MY-182951406,3297,2014-10-22,2014-10-27,Standard Class,Medium
CA-2014-MY18295140-41976,MY-182951402,3694,2014-12-03,2014-12-05,Second Class,High
CA-2014-MZ17335140-41922,MZ-173351404,3165,2014-10-10,2014-10-15,Standard Class,High
CA-2014-MZ17515140-41802,MZ-175151402,3668,2014-06-12,2014-06-18,Standard Class,Medium
CA-2014-NB18655140-41758,NB-186551402,3682,2014-04-29,2014-05-02,First Class,Medium
CA-2014-NB18655140-41901,NB-186551408,3312,2014-09-19,2014-09-23,Standard Class,Medium
CA-2014-NB18655140-41929,NB-186551406,3555,2014-10-17,2014-10-21,Standard Class,Medium
CA-2014-NC18340140-41968,NC-183401406,3557,2014-11-25,2014-11-27,First Class,High
CA-2014-NC18415140-41927,NC-184151408,3579,2014-10-15,2014-10-21,Standard Class,Low
CA-2014-ND18370140-41765,ND-183701408,3422,2014-05-06,2014-05-08,First Class,High
CA-2014-ND18370140-41963,ND-183701406,3551,2014-11-20,2014-11-26,Standard Class,Medium
CA-2014-NF18385140-41870,NF-183851402,3685,2014-08-19,2014-08-21,First Class,Critical
CA-2014-NF18475140-41844,NF-184751402,3383,2014-07-24,2014-07-28,Standard Class,Medium
CA-2014-NF838523-41818,NF-838523,529,2014-06-28,2014-06-30,First Class,Critical
CA-2014-NG835523-41674,NG-835523,510,2014-02-04,2014-02-11,Standard Class,Low
CA-2014-NG843023-41930,NG-843023,492,2014-10-18,2014-10-20,Second Class,High
CA-2014-NH18610140-41908,NH-186101402,3699,2014-09-26,2014-10-02,Standard Class,Medium
CA-2014-NK18490140-41839,NK-184901406,3633,2014-07-19,2014-07-23,Standard Class,Medium
CA-2014-NK18490140-41930,NK-184901404,3249,2014-10-18,2014-10-21,First Class,Critical
CA-2014-NL18310140-41790,NL-183101404,3218,2014-05-31,2014-06-04,Standard Class,Medium
CA-2014-NM18520140-41646,NM-185201402,3667,2014-01-07,2014-01-11,Standard Class,Medium
CA-2014-NM18520140-41791,NM-185201406,3555,2014-06-01,2014-06-07,Standard Class,Medium
CA-2014-NM18520140-41934,NM-185201404,3238,2014-10-22,2014-10-28,Standard Class,Medium
CA-2014-NM18520140-41977,NM-185201404,3217,2014-12-04,2014-12-07,First Class,High
CA-2014-NM18520140-41997,NM-185201406,3587,2014-12-24,2014-12-29,Standard Class,Medium
CA-2014-NP18670140-41839,NP-186701404,3165,2014-07-19,2014-07-23,Standard Class,Medium
CA-2014-NP18670140-41964,NP-186701402,3611,2014-11-21,2014-11-25,Standard Class,High
CA-2014-NP18685140-41905,NP-186851406,3606,2014-09-23,2014-09-25,Second Class,High
CA-2014-NP18685140-41963,NP-186851406,3558,2014-11-20,2014-11-26,Standard Class,Medium
CA-2014-NP18700140-41864,NP-187001406,3556,2014-08-13,2014-08-18,Second Class,Medium
CA-2014-NP18700140-41949,NP-187001404,3763,2014-11-06,2014-11-10,Standard Class,High
CA-2014-NR18550140-41762,NR-185501402,3667,2014-05-03,2014-05-07,Standard Class,High
CA-2014-NR18550140-41930,NR-185501406,3534,2014-10-18,2014-10-21,First Class,Critical
CA-2014-NS18505140-41968,NS-185051402,3682,2014-11-25,2014-11-27,Second Class,Critical
CA-2014-NS18640140-41672,NS-186401402,3695,2014-02-02,2014-02-08,Standard Class,Medium
CA-2014-NS18640140-41985,NS-186401406,3590,2014-12-12,2014-12-12,Same Day,Critical
CA-2014-NS18640140-41986,NS-186401406,3554,2014-12-13,2014-12-18,Standard Class,Medium
CA-2014-NS18640140-41991,NS-186401404,3539,2014-12-18,2014-12-24,Standard Class,Low
CA-2014-NW18400140-41947,NW-184001404,3621,2014-11-04,2014-11-06,First Class,High
CA-2014-NW840023-41692,NW-840023,513,2014-02-22,2014-02-22,Same Day,High
CA-2014-NZ18565140-41831,NZ-185651404,3170,2014-07-11,2014-07-12,Same Day,High
CA-2014-NZ18565140-41894,NZ-185651406,3608,2014-09-12,2014-09-18,Standard Class,Medium
CA-2014-NZ18565140-41964,NZ-185651406,3590,2014-11-21,2014-11-25,Second Class,Medium
CA-2014-ON18715140-41710,ON-187151402,3480,2014-03-12,2014-03-14,First Class,High
CA-2014-ON18715140-41959,ON-187151408,3567,2014-11-16,2014-11-16,Same Day,High
CA-2014-OT18730140-41801,OT-187301404,3217,2014-06-11,2014-06-16,Standard Class,Medium
CA-2014-OT18730140-41849,OT-187301406,3628,2014-07-29,2014-07-30,First Class,High
CA-2014-PB18805140-41928,PB-188051404,3732,2014-10-16,2014-10-22,Standard Class,Medium
CA-2014-PB19105140-41719,PB-191051402,3369,2014-03-21,2014-03-23,Second Class,High
CA-2014-PB19150140-41744,PB-191501404,3213,2014-04-15,2014-04-19,Standard Class,High
CA-2014-PB19210140-41681,PB-192101402,3616,2014-02-11,2014-02-13,First Class,High
CA-2014-PB880523-41640,PB-880523,513,2014-01-01,2014-01-06,Standard Class,Medium
CA-2014-PC18745140-41954,PC-187451404,3249,2014-11-11,2014-11-13,First Class,High
CA-2014-PC18745140-41971,PC-187451406,3537,2014-11-28,2014-12-03,Standard Class,Medium
CA-2014-PF19165140-41821,PF-191651408,3345,2014-07-01,2014-07-03,Second Class,Critical
CA-2014-PF19165140-41953,PF-191651404,3226,2014-11-10,2014-11-15,Standard Class,Medium
CA-2014-PF19225140-41817,PF-192251408,3339,2014-06-27,2014-07-04,Standard Class,Low
CA-2014-PF19225140-41947,PF-192251404,3215,2014-11-04,2014-11-07,First Class,Critical
CA-2014-PF912023-41956,PF-912023,488,2014-11-13,2014-11-19,Standard Class,Medium
CA-2014-PG18820140-41707,PG-188201404,3162,2014-03-09,2014-03-09,Same Day,Medium
CA-2014-PG18820140-41738,PG-188201408,3346,2014-04-09,2014-04-15,Standard Class,Medium
CA-2014-PG18820140-41884,PG-188201406,3555,2014-09-02,2014-09-08,Standard Class,Medium
CA-2014-PG18820140-41941,PG-188201408,3302,2014-10-29,2014-10-29,Same Day,Medium
CA-2014-PG18820140-41962,PG-188201404,3246,2014-11-19,2014-11-23,Standard Class,Medium
CA-2014-PG18895140-41661,PG-188951406,3529,2014-01-22,2014-01-28,Standard Class,Medium
CA-2014-PG18895140-41752,PG-188951404,3249,2014-04-23,2014-04-27,Second Class,Medium
CA-2014-PJ18835140-41765,PJ-188351408,3662,2014-05-06,2014-05-09,First Class,Medium
CA-2014-PJ18835140-41947,PJ-188351402,3682,2014-11-04,2014-11-10,Standard Class,Low
CA-2014-PJ19015140-41841,PJ-190151406,3551,2014-07-21,2014-07-24,Second Class,Medium
CA-2014-PJ19015140-41891,PJ-190151404,3254,2014-09-09,2014-09-09,Same Day,Medium
CA-2014-PK18910140-41886,PK-189101406,3634,2014-09-04,2014-09-06,First Class,Medium
CA-2014-PK19075140-41746,PK-190751408,3663,2014-04-17,2014-04-23,Standard Class,Medium
CA-2014-PK19075140-41868,PK-190751404,3248,2014-08-17,2014-08-21,Standard Class,High
CA-2014-PK19075140-41888,PK-190751402,3459,2014-09-06,2014-09-08,Second Class,Medium
CA-2014-PK19075140-41988,PK-190751406,3555,2014-12-15,2014-12-20,Standard Class,Medium
CA-2014-PK19075140-41990,PK-190751404,3182,2014-12-17,2014-12-24,Standard Class,Medium
CA-2014-PM18940140-41983,PM-189401408,3744,2014-12-10,2014-12-12,First Class,Medium
CA-2014-PM19135140-41921,PM-191351402,3718,2014-10-09,2014-10-16,Standard Class,Low
CA-2014-PM19135140-41935,PM-191351402,3459,2014-10-23,2014-10-25,First Class,Critical
CA-2014-PN18775140-41897,PN-187751408,3641,2014-09-15,2014-09-19,Standard Class,Medium
CA-2014-PN18775140-41992,PN-187751402,3511,2014-12-19,2014-12-22,First Class,Medium
CA-2014-PO18850140-41901,PO-188501408,3312,2014-09-19,2014-09-23,Standard Class,High
CA-2014-PO19180140-41803,PO-191801402,3363,2014-06-13,2014-06-15,Second Class,High
CA-2014-PO19180140-41895,PO-191801404,3281,2014-09-13,2014-09-14,Same Day,Medium
CA-2014-PO19180140-41957,PO-191801404,3762,2014-11-14,2014-11-18,Standard Class,Medium
CA-2014-PO918023-41774,PO-918023,512,2014-05-15,2014-05-17,First Class,High
CA-2014-PP18955140-41954,PP-189551406,3607,2014-11-11,2014-11-15,Standard Class,Medium
CA-2014-PS18760140-41708,PS-187601406,3440,2014-03-10,2014-03-13,First Class,High
CA-2014-PS18970140-41769,PS-189701406,3556,2014-05-10,2014-05-14,Standard Class,Medium
CA-2014-PS19045140-41951,PS-190451404,3227,2014-11-08,2014-11-13,Standard Class,Medium
CA-2014-PV18985140-41692,PV-189851402,3775,2014-02-22,2014-02-28,Standard Class,Medium
CA-2014-PV18985140-41805,PV-189851404,3249,2014-06-15,2014-06-18,First Class,Medium
CA-2014-PW19030140-41874,PW-190301404,3218,2014-08-23,2014-08-30,Standard Class,Low
CA-2014-PW19030140-41927,PW-190301406,3554,2014-10-15,2014-10-19,Standard Class,Medium
CA-2014-PW19030140-41976,PW-190301402,3410,2014-12-03,2014-12-07,Standard Class,Medium
CA-2014-PW19030140-41998,PW-190301406,3554,2014-12-25,2014-12-28,Second Class,Medium
CA-2014-PW19240140-41905,PW-192401406,3633,2014-09-23,2014-09-29,Standard Class,Medium
CA-2014-QJ19255140-41740,QJ-192551402,3364,2014-04-11,2014-04-16,Standard Class,Medium
CA-2014-QJ19255140-41928,QJ-192551408,3744,2014-10-16,2014-10-21,Standard Class,Medium
CA-2014-QJ19255140-41982,QJ-192551402,3488,2014-12-09,2014-12-13,Second Class,High
CA-2014-RA19885140-41838,RA-198851404,3218,2014-07-18,2014-07-23,Standard Class,Medium
CA-2014-RA19915140-41906,RA-199151408,3340,2014-09-24,2014-09-29,Second Class,Medium
CA-2014-RA928523-41872,RA-928523,528,2014-08-21,2014-08-28,Standard Class,Medium
CA-2014-RB19360140-41731,RB-193601406,3545,2014-04-02,2014-04-04,Second Class,Critical
CA-2014-RB19360140-41789,RB-193601408,3663,2014-05-30,2014-06-03,Standard Class,Medium
CA-2014-RB19360140-41835,RB-193601404,3249,2014-07-15,2014-07-19,Standard Class,Medium
CA-2014-RB19465140-41708,RB-194651406,3292,2014-03-10,2014-03-14,Standard Class,Medium
CA-2014-RB19465140-41765,RB-194651408,3334,2014-05-06,2014-05-10,Standard Class,Medium
CA-2014-RB19465140-41780,RB-194651404,3264,2014-05-21,2014-05-26,Standard Class,Medium
CA-2014-RB19465140-41825,RB-194651404,3762,2014-07-05,2014-07-05,Same Day,Medium
CA-2014-RB19465140-41881,RB-194651402,3362,2014-08-30,2014-09-03,Standard Class,Medium
CA-2014-RB19570140-41758,RB-195701402,3385,2014-04-29,2014-05-01,Second Class,Medium
CA-2014-RB19645140-41721,RB-196451404,3514,2014-03-23,2014-03-26,First Class,Medium
CA-2014-RC19825140-41654,RC-198251406,3288,2014-01-15,2014-01-15,Same Day,Critical
CA-2014-RC19825140-41797,RC-198251402,3362,2014-06-07,2014-06-14,Standard Class,Medium
CA-2014-RC19825140-41811,RC-198251404,3230,2014-06-21,2014-06-22,First Class,Critical
CA-2014-RC19825140-41948,RC-198251408,3422,2014-11-05,2014-11-05,Same Day,High
CA-2014-RC19825140-42000,RC-198251404,3273,2014-12-27,2014-12-28,First Class,High
CA-2014-RC19960140-41894,RC-199601402,3695,2014-09-12,2014-09-18,Standard Class,Medium
CA-2014-RD19480140-41703,RD-194801402,3398,2014-03-05,2014-03-09,Standard Class,Medium
CA-2014-RD19480140-41975,RD-194801402,3403,2014-12-02,2014-12-08,Standard Class,Low
CA-2014-RD19585140-41966,RD-195851402,3458,2014-11-23,2014-11-27,Standard Class,Medium
CA-2014-RD19660140-41719,RD-196601402,3501,2014-03-21,2014-03-25,Standard Class,Medium
CA-2014-RD19660140-41905,RD-196601406,3632,2014-09-23,2014-09-30,Standard Class,Low
CA-2014-RD19720140-41770,RD-197201404,3763,2014-05-11,2014-05-17,Standard Class,Medium
CA-2014-RD19720140-41965,RD-197201402,3362,2014-11-22,2014-11-27,Standard Class,Medium
CA-2014-RD19720140-41977,RD-197201404,3224,2014-12-04,2014-12-08,Standard Class,High
CA-2014-RD19810140-41683,RD-198101404,3217,2014-02-13,2014-02-18,Standard Class,Medium
CA-2014-RD19810140-41798,RD-198101406,3557,2014-06-08,2014-06-11,First Class,Critical
CA-2014-RD19810140-41885,RD-198101402,3696,2014-09-03,2014-09-08,Second Class,Medium
CA-2014-RD19810140-42001,RD-198101406,3586,2014-12-28,2014-12-31,First Class,Medium
CA-2014-RD19900140-41814,RD-199001404,3247,2014-06-24,2014-06-26,Second Class,High
CA-2014-RD19900140-41907,RD-199001402,3390,2014-09-25,2014-09-29,Standard Class,High
CA-2014-RD19900140-41960,RD-199001404,3539,2014-11-17,2014-11-21,Standard Class,High
CA-2014-RE19450140-41835,RE-194501406,3545,2014-07-15,2014-07-19,Second Class,Medium
CA-2014-RF19345140-41703,RF-193451408,3320,2014-03-05,2014-03-09,Second Class,High
CA-2014-RF19345140-41972,RF-193451408,3343,2014-11-29,2014-12-02,Second Class,Medium
CA-2014-RF19345140-41979,RF-193451402,3362,2014-12-06,2014-12-09,Second Class,High
CA-2014-RF19735140-41819,RF-197351402,3362,2014-06-29,2014-07-03,Second Class,High
CA-2014-RF19735140-41878,RF-197351404,3251,2014-08-27,2014-08-28,First Class,High
CA-2014-RF19840140-41748,RF-198401408,3738,2014-04-19,2014-04-23,Standard Class,Medium
CA-2014-RF19840140-41865,RF-198401408,3744,2014-08-14,2014-08-17,First Class,Medium
CA-2014-RF19840140-41986,RF-198401404,3230,2014-12-13,2014-12-17,Standard Class,High
CA-2014-RH19510140-41709,RH-195101404,3217,2014-03-11,2014-03-14,First Class,Medium
CA-2014-RH19510140-41836,RH-195101404,3731,2014-07-16,2014-07-22,Standard Class,Medium
CA-2014-RH19510140-41902,RH-195101406,3638,2014-09-20,2014-09-22,First Class,High
CA-2014-RH19555140-41850,RH-195551408,3570,2014-07-30,2014-08-04,Standard Class,Medium
CA-2014-RH19600140-41835,RH-196001408,3154,2014-07-15,2014-07-15,Same Day,High
CA-2014-RL19615140-41789,RL-196151408,3156,2014-05-30,2014-06-02,Second Class,High
CA-2014-RL19615140-41885,RL-196151402,3363,2014-09-03,2014-09-09,Standard Class,Medium
CA-2014-RM19375140-41828,RM-193751404,3251,2014-07-08,2014-07-12,Standard Class,Medium
CA-2014-RO19780140-41954,RO-197801404,3248,2014-11-11,2014-11-14,First Class,Medium
CA-2014-RP19270140-41873,RP-192701404,3764,2014-08-22,2014-08-25,Second Class,High
CA-2014-RP19390140-41871,RP-193901406,3554,2014-08-20,2014-08-21,First Class,Medium
CA-2014-RP19855140-41887,RP-198551402,3489,2014-09-05,2014-09-10,Standard Class,High
